LOGICALREF,ITEMREF,MAINCODE,BARCODE,UNITLINEREF,SPECODE,SPECODE2,SPECODE3,SPECODE4,SPECODE5,SASIA,INFO,INFO2,PARENT,name,DATE_FILLIMI,DATA_FUNDIT,CMIMI_SH,NJESIA,VAT
348,755,N352-1L003A03436,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,8,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=449~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_1.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_2.jpg~route=product/product&path=269&product_id=449~Në Trend Femra~Papuçe Femra~36~33,https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_3.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_4.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_5.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_6.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art34,00:00.0,00:00.0,16.5,PALË,18
349,756,N352-1L003A03437,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,9,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=449~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_1.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~37~33,https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_3.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_4.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_5.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_6.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art34,00:00.0,00:00.0,16.5,PALË,18
352,757,N352-1L003A03438,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,3,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=449~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_1.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~38~33,https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_3.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_4.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_5.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_6.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art34,00:00.0,00:00.0,16.5,PALË,18
351,758,N352-1L003A03439,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,87,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=449~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_1.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~39~33,https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_3.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_4.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_5.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_6.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art34,00:00.0,00:00.0,16.5,PALË,18
353,759,N352-1L003A03440,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,78,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=449~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_1.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~40~33,https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_3.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_4.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_5.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_6.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art34,00:00.0,00:00.0,16.5,PALË,18
354,760,N352-1L003A03441,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,13,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=449~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_1.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~41~33,https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_3.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_4.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_5.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_6.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art34,00:00.0,00:00.0,16.5,PALË,18
355,761,N352-1L003A03442,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,41,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=449~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_1.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~42~33,https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_3.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_4.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_5.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_6.jpg~https://nallan.eu/products/ARTSY/02.%20N352-1L003A034/N352_1L003A034_7.jpg,P,Papuçe Anatomike per Femra-ARTSY-Art34,00:00.0,00:00.0,16.5,PALË,18
356,748,N352-1L003A03536,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,0,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=450~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_1.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~36~33,https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_3.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_4.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_5.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_6.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art35,00:00.0,00:00.0,16.5,PALË,18
357,749,N352-1L003A03537,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,0,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=450~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_1.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~37~33,https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_3.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_4.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_5.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_6.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art35,00:00.0,00:00.0,16.5,PALË,18
358,750,N352-1L003A03538,3.9064E+12,23,HITSHOES,4SEASONS,WOMEN,ARTSY,NALLAN,0,https://www.nallan.eu/index.php?route=product/product&path=269&product_id=450~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_1.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_2.jpg~Papuçe që ju bëjnë të ndiheni mirë.~Në Trend Femra~Papuçe Femra~38~33,https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_3.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_4.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_5.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_6.jpg~https://nallan.eu/products/ARTSY/03.%20N352-1L003A035/N352_1L003A035_7.jpg,,Papuçe Anatomike per Femra-ARTSY-Art35,00:00.0,00:00.0,16.5,PALË,18
